route,kind,area,expected_role,dynamic,linked,build_result,runtime_result,reason,evidence,source
"/","page","Public marketing / portal","anonymous or route-specific","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(marketing)/page.tsx"
"/about","page","Public marketing / portal","anonymous or route-specific","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(marketing)/about/page.tsx"
"/admin","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/page.tsx"
"/admin/activations","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/activations/page.tsx"
"/admin/activations/[customerAccountId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/activations/[customerAccountId]/page.tsx"
"/admin/audit","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/audit/page.tsx"
"/admin/commerce","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/page.tsx"
"/admin/commerce/catalog","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/catalog/page.tsx"
"/admin/commerce/entitlements","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/entitlements/page.tsx"
"/admin/commerce/fulfillment","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/fulfillment/page.tsx"
"/admin/commerce/health","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/health/page.tsx"
"/admin/commerce/invoices","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/invoices/page.tsx"
"/admin/commerce/orders","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/orders/page.tsx"
"/admin/commerce/orders/[orderId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/orders/[orderId]/page.tsx"
"/admin/commerce/payments","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/payments/page.tsx"
"/admin/commerce/products/[id]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/products/[id]/page.tsx"
"/admin/commerce/subscriptions","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/subscriptions/page.tsx"
"/admin/commerce/webhooks","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/commerce/webhooks/page.tsx"
"/admin/customers","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/customers/page.tsx"
"/admin/furnishing","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/page.tsx"
"/admin/furnishing/installation","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/installation/page.tsx"
"/admin/furnishing/packages","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/page.tsx"
"/admin/furnishing/packages/[packageId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/[packageId]/page.tsx"
"/admin/furnishing/packages/import","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/import/page.tsx"
"/admin/furnishing/packages/import/[importId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/import/[importId]/page.tsx"
"/admin/furnishing/packages/new","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/new/page.tsx"
"/admin/furnishing/packages/requirements","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/requirements/page.tsx"
"/admin/furnishing/packages/rooms","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/rooms/page.tsx"
"/admin/furnishing/packages/rooms/[packageId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/rooms/[packageId]/page.tsx"
"/admin/furnishing/packages/rooms/new","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/rooms/new/page.tsx"
"/admin/furnishing/packages/rules","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/packages/rules/page.tsx"
"/admin/furnishing/procurement","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/procurement/page.tsx"
"/admin/furnishing/products","page","Admin","admin","false","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/products/page.tsx"
"/admin/furnishing/products/[productId]","page","Admin","admin","true","not exhaustively resolved","pass","blocked","No pre-existing controlled identity/browser matrix supplied; audit forbids provisioning or external mutation","npm run build (273 static pages generated; route emitted)","src/app/(admin)/admin/furnishing/products/[productId]/page.tsx"
