"id","severity","classification","area","finding","evidence","impact","status"
"AUD-001","P1","missing requirement","Commerce","All 18 approved Stripe price mappings are not evidenced as reconciled in production","docs/milestones/OC-001-production-verification-completion.md; runtime Stripe access intentionally not used","Purchase availability and amount/cadence correctness cannot be certified","open"
"AUD-002","P1","test-environment blocker","Cross-product","No pre-existing controlled role credentials and tenant fixtures were supplied for the 11 required identity profiles","No safe browser identity configuration or storage state exists; provisioning scripts are mutating and prohibited","Authentication, entitlement, wrong-tenant, and RLS boundaries cannot be certified end to end","blocked"
"AUD-003","P1","test-environment blocker","Commerce","Stripe test-mode checkout, renewal, cancellation, portal, webhook, add-on, credit, and concurrency journeys cannot be executed without external mutation","Commerce actions create provider customers/sessions/subscriptions and persistence records","Primary purchase and entitlement workflows remain uncertified","blocked"
"AUD-004","P2","missing requirement","Quality / accessibility","No repository browser harness provides full route crawl, screenshots, console/network capture, responsive checks, or keyboard/axe coverage","No Playwright or Cypress configuration/dependency discovered","393 routes and 688 statically discovered controls lack browser evidence","open"
"AUD-005","P2","incomplete wiring","Investment Intelligence","Architecture documentation states real Market-to-Investment runtime replacement remains incomplete","docs/Architecture/market-intelligence-boundary.md","Provider-derived Investment workflow may expose placeholders or unavailable behavior","open"
"AUD-006","P2","missing requirement","Guidebook Studio","Mesa reference PDF visual/content parity validation is explicitly not run","docs/implementation/gs-v1d-mesa-production-certification.md","Guidebook visual parity and responsive output are uncertified","open"
"AUD-007","P3","confirmed defect","Code quality","ESLint reports one unused-variable warning","src/platform/reporting/foundation/standard-report-administration.ts:7","Low release impact but the lint baseline is not clean","open"
"AUD-008","P2","test-environment blocker","Security","Dependency advisory scan could not reach the npm advisory endpoint in the restricted environment","npm audit: ENOTFOUND registry.npmjs.org","Known-vulnerability status is unknown","blocked"
"AUD-009","P1","confirmed defect","Admin / authentication","An intended administrator is redirected from both the marketing portal CTA and direct /admin navigation to /dashboard","Operator production observation; canonical is_admin authorization fix and regression tests; full suite 3864/3864; production build pass","The admin portal is unusable in the currently observed deployment","implemented; deployment verification pending"
"AUD-010","P2","missing requirement","Public marketing","The production homepage contains UI redesign changes that were not requested or approved","Operator production observation; commit fb1ab9d5 Redesign public homepage; git history for src/app/(marketing)/page.tsx and hero-section.tsx","Unapproved customer-visible release content bypassed change approval","open"
