route,area,role,viewport,control_type,discovered_count,expected,actual,result,evidence,source,related_tests,defect_id
"/","Public marketing / portal","anonymous or route-specific","desktop + mobile required","link","10","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(marketing)/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/about","Public marketing / portal","anonymous or route-specific","desktop + mobile required","link","6","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(marketing)/about/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/activations","Admin","admin","desktop + mobile required","link","2","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/activations/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/activations/[customerAccountId]","Admin","admin","desktop + mobile required","link","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/activations/[customerAccountId]/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce","Admin","admin","desktop + mobile required","link","10","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/entitlements","Admin","admin","desktop + mobile required","form","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/entitlements/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/entitlements","Admin","admin","desktop + mobile required","input","3","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/entitlements/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/entitlements","Admin","admin","desktop + mobile required","select","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/entitlements/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
"/admin/commerce/entitlements","Admin","admin","desktop + mobile required","button","1","Correct UI, authorization, persistence, telemetry, and downstream effect","Not browser-exercised","untested","Static JSX discovery only","src/app/(admin)/admin/commerce/entitlements/page.tsx","Repository suite; no route-level browser evidence","BLK-001"
